Marca temporal,Titulación en curso,Titulación anterior (si la hubiera),Género,Edad,"Sobre el uso de los sistemas de mensajería en clase, prefiero","¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes) te podrían resultar útiles para mejorar tus resultados de aprendizaje o ayudarte, en general, a gestionar una asignatura?",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros de clase/profesores?
10/12/2020 10:42:10,Máster II,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con los más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase","Whatsapp, Telegram, Slack, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 10:43:18,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram"
10/12/2020 10:52:37,Máster II,Grado en Ingeniería Informática,Hombre,25 a 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas",Telegram
10/12/2020 10:58:47,Máster II,Graduado en Ingeniería Informática,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 11:04:06,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con los más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",Whatsapp
10/12/2020 11:13:56,Máster II,Doble Grado Informática y Matemáticas,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te ayuden con el material de clase","Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 11:14:58,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Telegram, Twitter mensajes, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 11:43:32,GII / GITT,,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que guarden profesores de tus asignaturas, correos, tutorias","Whatsapp, Telegram"
10/12/2020 12:17:51,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
10/12/2020 12:19:32,GII / GITT,Formación Profesional de Desarrollo de Aplicaciones Multiplataforma,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas",Telegram
10/12/2020 12:40:37,Máster II,Grado II,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con los más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",Telegram
10/12/2020 13:06:15,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 13:18:53,GII / GITT,GII,Mujer,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 13:42:04,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 14:11:49,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
10/12/2020 15:18:41,GII / GITT,IT informática gestión,Hombre,Más de 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase",PRADO/SWAD/otra plataforma de aprendizaje específica
10/12/2020 15:42:06,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,Bots que guarden y recuperen preguntas frecuentes,"Whatsapp, Telegram, Twitter mensajes, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 17:17:51,GII / GITT,Bachiller,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,Bots que te ayuden a conocer a más gente en la clase,"Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 18:07:49,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 19:20:19,GII / GITT,,Hombre,20 a 25 años,Un grupo sin los profesores,Bots-agenda (que te avisen pe. del tiempo que queda para una entrega),Whatsapp
10/12/2020 20:13:33,GII / GITT,,Hombre,20 a 25 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",Telegram
11/12/2020 10:39:47,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase",Whatsapp
11/12/2020 11:08:48,GII / GITT,Grado en Filosofía,Hombre,25 a 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con los más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram"
11/12/2020 14:12:52,Máster II,Grado en Matemáticas e Informática,Hombre,25 a 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes",Telegram
11/12/2020 14:14:00,GII / GITT,,Hombre,25 a 30 años,"Un grupo sin los profesores, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase","Whatsapp, Telegram"
11/12/2020 14:34:39,Máster II,Ingeniería Informática,Hombre,20 a 25 años,Un grupo sin los profesores,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
11/12/2020 15:20:13,MAES,Ingenieria en Ciencia de la Computación,Hombre,25 a 30 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",Telegram
11/12/2020 16:10:11,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
11/12/2020 16:50:58,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
11/12/2020 18:46:15,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Telegram"
11/12/2020 20:53:03,GII / GITT,,Mujer,20 a 25 años,"Un grupo sin los profesores, Un grupo con los más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
12/12/2020 18:41:39,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
13/12/2020 12:26:53,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram"
13/12/2020 16:48:29,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
13/12/2020 18:15:33,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
14/12/2020 1:42:44,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico",Bots que guarden y recuperen preguntas frecuentes,"Whatsapp, Telegram, Discord"
14/12/2020 11:36:07,GII / GITT,,Mujer,20 a 25 años,Un grupo para el curso completo,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas",Whatsapp
14/12/2020 18:43:16,DATCOM,Grado en Ingeniería Informática,Hombre,20 a 25 años,Un grupo sin los profesores,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
14/12/2020 18:43:31,DATCOM,Grado en Física,Hombre,20 a 25 años,Un grupo sin los profesores,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, gmail"
14/12/2020 18:51:48,DATCOM,Grado Ingeniería Informática,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
14/12/2020 18:57:07,DATCOM,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
14/12/2020 19:09:21,DATCOM,,Hombre,Más de 30 años,Un grupo con todos los compañeros/as y profesores/as,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase",Whatsapp
14/12/2020 19:10:58,DATCOM,Grado en Ingeniería Informática,Mujer,20 a 25 años,Un grupo sin los profesores,Bots-agenda (que te avisen pe. del tiempo que queda para una entrega),"Whatsapp, Telegram"
14/12/2020 19:29:20,DATCOM,Grado en Estadística,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
14/12/2020 19:49:25,DATCOM,Grado en Ingeniería Informática,Hombre,25 a 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
14/12/2020 20:00:20,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con los más allegados, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Whatsapp, Telegram, Discord"
14/12/2020 20:05:21,DATCOM,GII,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con los más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
14/12/2020 23:19:03,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo con los más allegados, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
15/12/2020 10:00:31,DATCOM,Ingeniería Técnica en Informática de Sistemas,Mujer,Más de 30 años,Un grupo para el curso completo,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase","Whatsapp, Telegram"
15/12/2020 10:35:44,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
15/12/2020 10:54:38,DATCOM,Grado en Información y Documentación,Hombre,25 a 30 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase, Bot para fechas administrativas, solicitudes, becas, alteración de matrícula, etc","Whatsapp, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
15/12/2020 12:36:38,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
15/12/2020 17:27:27,GII / GITT,Ingenieria Informatica,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te ayuden con el material de clase","Whatsapp, Telegram"
17/12/2020 10:47:55,DATCOM,Grado de Matemáticas,Mujer,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
21/12/2020 10:32:10,GII / GITT,,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram"